      WBS Number,Title,Start,End,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
17.2.20,McCain - Campagne Site - Intern - Test moment Fase 2,06-11-12 11:00,07-11-12 13:00,1d 2h,1d,0%,,Mark {80% of 80%},,,,,05-11-12 09:00,,144,,0,,
17.2.21,McCain - Campagne Site - Finale debug / Oplevering McCain,07-11-12 13:00,09-11-12 17:00,2d 4h,2d,0%,,Mark {80% of 80%},,,,,06-11-12 09:00,,145,,0,,
17.2.22,McCain - Campagne Site - Feedback Werkende Campagne site,09-11-12 17:00,09-11-12 17:00,0s,0s,0%,,Mark {80% of 80%},,,,,09-11-12 09:00,,146,,0,,
17.2.23,McCain - Campagne Site - Verwerken Feedback,12-11-12 09:00,14-11-12 13:00,2d 4h,2d,0%,,Mark {80% of 80%},,,,,12-11-12 09:00,,147,,0,,
17.2.24,McCain - Campagne Site - Intern - Test & Acceptatie Campagne site,14-11-12 13:00,14-11-12 13:00,0s,0s,0%,,Mark {80% of 80%},,,,,14-11-12 09:00,,148,,0,,
17.2.25,McCain - Campagne Site - Oplevering,19-11-12 09:00,19-11-12 09:00,0s,0s,0%,,Mark {80% of 80%},,,,,19-11-12 09:00,,149,,0,,
17.3,McCain - Campagne Uitingen / Materialen,18-10-12 09:00,19-11-12 09:00,1mo 2d,2w 4d,0%,,,,,,,20-08-12 09:00,,,,,,
17.3.1,McCain - Campagne materiaal - Brainstorm,18-10-12 09:00,18-10-12 17:00,1d,1d,0%,,Vincent,,,,,18-10-12 09:00,,,,0,,
17.3.2,McCain - Campagne materiaal - Concept ontwerp Uiting Fase 1,22-10-12 09:00,24-10-12 17:00,3d,3d,0%,,Vincent,,,,,22-10-12 09:00,,152,,0,,
17.3.3,McCain - Campagne materiaal - Intern Art-Direction Fase 1,25-10-12 09:00,25-10-12 17:00,1d,1d,0%,,Vincent,,,,,25-10-12 09:00,,153,,0,,
17.3.4,McCain - Campagne materiaal - Oplevering Concept Fase 1,29-10-12 09:00,29-10-12 09:00,0s,0s,0%,,Vincent,,,,,26-10-12 09:00,,154,,0,,
17.3.5,McCain - Campagne materiaal - Feedback Concept Fase 1,29-10-12 09:00,29-10-12 09:00,0s,0s,100%,,Vincent,,,,,29-10-12 09:00,,155,,0,,
17.3.6,McCain - Campagne materiaal - Concept ontwerp Uiting Fase 2,30-10-12 09:00,31-10-12 17:00,2d,2d,0%,,Vincent,,,,,30-10-12 09:00,,156,,0,,
17.3.7,McCain - Campagne materiaal - Intern Art-Direction Fase 2,01-11-12 09:00,01-11-12 17:00,1d,1d,0%,,Vincent,,,,,01-11-12 09:00,,157,,0,,
17.3.8,McCain - Campagne materiaal - Oplevering Concept Fase 2,02-11-12 09:00,02-11-12 09:00,0s,0s,0%,,Vincent,,,,,02-11-12 09:00,,158,,0,,
17.3.9,McCain - Campagne materiaal - Detail ontwerp Fase 1,05-11-12 09:00,07-11-12 17:00,3d,3d,0%,,Vincent,,,,,05-11-12 09:00,,159,,0,,
17.3.10,McCain - Campagne materiaal - Intern Art-Direction Fase 1,08-11-12 09:00,08-11-12 17:00,1d,1d,0%,,Vincent,,,,,08-11-12 09:00,,160,,0,,
17.3.11,McCain - Campagne materiaal - Oplevering Detail ontwerp Fase 1,09-11-12 09:00,09-11-12 09:00,0s,0s,0%,,Vincent,,,,,09-11-12 09:00,,"160, 161",,0,,
17.3.12,McCain - Campagne materiaal - Feedback Detail ontwerp Fase 1,12-11-12 09:00,12-11-12 09:00,0s,0s,0%,,Vincent,,,,,12-11-12 09:00,,162,,0,,
17.3.13,McCain - Campagne materiaal - Finaal Detail ontwerp Fase 1,12-11-12 09:00,13-11-12 17:00,2d,2d,0%,,Vincent,,,,,12-11-12 09:00,,163,,0,,
17.3.14,McCain - Campagne materiaal - Oplevering,19-11-12 09:00,19-11-12 09:00,0s,0s,0%,,Vincent,,,,,19-11-12 09:00,,164,,0,,
17.4,McCain - Magazines - Stramien,17-12-12 09:00,14-01-13 09:00,1mo,3w,0%,,,,,,,26-11-12 09:00,,,,,,
17.4.1,McCain - Magazine 1 - Brainstorm,17-12-12 09:00,17-12-12 17:00,1d,1d,0%,,Vincent,,,,,17-12-12 09:00,,,,0,,
17.4.2,McCain - Magazine 1 - Ontwerp Concept,18-12-12 09:00,19-12-12 17:00,2d,2d,0%,,Vincent,,,,,17-12-12 09:00,,167,,0,,
17.4.3,McCain - Magazine 1 - Feedback Concept,19-12-12 17:00,19-12-12 17:00,0s,0s,0%,,Vincent,,,,,05-12-12 09:00,,168,,0,,
17.4.4,McCain - Magazine 1 - Verwerken Feedback,20-12-12 09:00,21-12-12 17:00,2d,2d,0%,,Vincent,,,,,07-12-12 09:00,,169,,0,,
17.4.5,McCain - Magazine 1 - Goedkeuring Concept,21-12-12 17:00,21-12-12 17:00,0s,0s,0%,,Vincent,,,,,12-12-12 09:00,,170,,0,,
17.4.6,McCain - Magazine 1 - Ontwikkeling Magazine Templates,24-12-12 09:00,26-12-12 17:00,3d,3d,0%,,Vincent,,,,,13-12-12 09:00,,171,,0,,
17.4.7,McCain - Magazine 1 - Feedback 1e versie,26-12-12 17:00,26-12-12 17:00,0s,0s,0%,,Vincent,,,,,24-12-12 09:00,,172,,0,,
17.4.8,McCain - Magazine 1 - Verwerken Feedback Templates,27-12-12 09:00,28-12-12 17:00,2d,2d,0%,,Vincent,,,,,25-12-12 09:00,,173,,0,,
17.4.9,McCain - Magazine 1 - Oplevering Magazine Templates,14-01-13 09:00,14-01-13 09:00,0s,0s,100%,,Vincent,,,,,14-01-13 09:00,,"174FF, 176FF",,0,,
17.4.10,McCain - Magazine 1 - iPad OPTIONEEL,31-12-12 09:00,04-01-13 17:00,1w,1w,0%,,Vincent,,,,,31-12-12 09:00,,174,,0,,
17.5,McCain - Magazines - Social Media,18-12-12 09:00,07-01-13 09:00,2w 4d,1w 2d,0%,,,,,,,06-12-12 09:00,,,,,,
17.5.1,McCain - Magazine 1 - Ontwerp Social Media Magazine,18-12-12 09:00,18-12-12 17:00,1d,1d,0%,,Vincent,,,,,18-12-12 09:00,,,,0,,
17.5.2,McCain - Magazine 1 - Ontwikkeling Social Media Magazine,19-12-12 09:00,20-12-12 17:00,2d,2d,0%,,Vincent,,,,,19-12-12 09:00,,178,,0,,
17.5.3,McCain - Magazine 1 - Feedback 1e versie,24-12-12 09:00,24-12-12 09:00,0s,0s,0%,,Vincent,,,,,24-12-12 09:00,,179,,0,,
17.5.4,McCain - Magazine 1 - Verwerken Feedback Social Media Magazine,25-12-12 09:00,26-12-12 17:00,2d,2d,0%,,Vincent,,,,,25-12-12 09:00,,180,,0,,
17.5.5,McCain - Magazine 1 - Oplevering,07-01-13 09:00,07-01-13 09:00,0s,0s,0%,,Vincent,,,,,07-01-13 09:00,,"181FF, 183FF",,0,,
17.5.6,McCain - Magazine 1 - iPad OPTIONEEL,31-12-12 09:00,01-01-13 17:00,2d,2d,0%,,Vincent,,,,,31-12-12 09:00,,181,,0,,
17.6,McCain - Magazines - Nieuwe titels,21-01-13 09:00,15-02-13 17:00,1mo,2w,0%,,,,,,,21-01-13 09:00,,,,,,
17.6.1,McCain - Magazines - Nieuwe titels - Magazine 2,21-01-13 09:00,25-01-13 17:00,1w,1w,0%,,Vincent,,,,,21-01-13 09:00,,,,0,,
17.6.2,McCain - Magazines - Nieuwe titels - Magazine 3,11-02-13 09:00,15-02-13 17:00,1w,1w,0%,,Vincent,,,,,11-02-13 09:00,,,,0,,
18,Hutten - Template design,03-09-12 09:00,06-09-12 13:26,3d 4h 26m 41s,3d 1h 36m,0%,,Martijn {90% of 100%},,,,,03-09-12 09:00,,,,0,,
19,ANWB - Welkom Magazine,17-09-12 09:00,27-09-12 15:24,1w 3d 6h 24m,1w 2d,0%,,,,,,,17-09-12 09:00,,,,,,
19.1,ANWB - Welkom Magazine - Re-design van 5 pagina’s,18-09-12 09:00,20-09-12 12:12,2d 3h 12m,2d 3h 12m,0%,,Caspar,,,,,18-09-12 09:00,,,,0,,
19.2,ANWB - Welkom Magazine - Toevoegen inhoudsopgave,24-09-12 09:00,24-09-12 13:00,4h,4h,0%,,Caspar,,,,,24-09-12 09:00,,,,0,,
19.3,ANWB - Welkom Magazine - Aanpassen ‘Wegenwacht door de jaren heen’,17-09-12 09:00,17-09-12 17:00,1d,1d,0%,,Maarten,,,,,17-09-12 09:00,,,,0,,
19.4,ANWB - Welkom Magazine - Contentwissel overige pagina’s,25-09-12 09:00,25-09-12 15:24,6h 24m,6h 24m,0%,,Caspar,,,,,25-09-12 09:00,,,,0,,
19.5,ANWB - Welkom Magazine - Doorvoeren elementen re-design totale magazine,27-09-12 09:00,27-09-12 15:24,6h 24m,6h 24m,0%,,Caspar,,,,,27-09-12 09:00,,,,0,,
19.6,ANWB - Welkom Magazine - Conversie pagina 4 naar html5,20-09-12 09:00,20-09-12 14:00,5h,4h,0%,,Mark {80% of 80%},,,,,20-09-12 09:00,,,,0,,
19.7,ANWB - Welkom Magazine - Vormgeving Navigatiebalk,17-09-12 09:00,17-09-12 13:00,4h,4h,0%,,Caspar,,,,,17-09-12 09:00,,,,0,,
19.8,ANWB - Welkom Magazine - Ontwikkeling Navigatiebalk,19-09-12 09:00,19-09-12 13:00,4h,4h,0%,,Leon,,,,,19-09-12 09:00,,,,0,,
20,KHN - Innovatietool,03-09-12 09:00,07-09-12 13:00,4d 4h,2d 4h,0%,,,,,,,03-09-12 09:00,,,,,,
20.1,KHN - Innovatietool - Ontwikkeling vragen-modules,03-09-12 09:00,03-09-12 17:00,1d,1d,0%,,Max,,,,,03-09-12 09:00,,,,0,,
20.2,KHN - Innovatietool - Ontwikkeling uitkomst-module,05-09-12 09:00,05-09-12 13:00,4h,4h,0%,,Max,,,,,05-09-12 09:00,,,,0,,
20.3,KHN - Innovatietool - Ontwikkeling pdf-module,06-09-12 09:00,06-09-12 13:00,4h,4h,0%,,Max,,,,,06-09-12 09:00,,,,0,,
20.4,KHN - Innovatietool - Implementatie vormgeving,07-09-12 09:00,07-09-12 13:00,4h,4h,0%,,Max,,,,,07-09-12 09:00,,,,0,,
21,UFS GBN - S&D Newsletter 5,05-10-12 09:00,24-10-12 09:00,2w 3d,1w,0%,,,,,,,05-10-12 09:00,,,,,,
21.1,UFS GBN - S&D Newsletter 5 - Aanleveren materialen door UFS,05-10-12 09:00,05-10-12 09:00,0s,0s,0%,,Caspar,,,,,05-10-12 09:00,,,,0,,
21.2,UFS GBN - S&D Newsletter 5 - Ontwerp email template,08-10-12 09:00,08-10-12 17:00,1d,1d,0%,,Caspar,,,,,08-10-12 09:00,,,,0,,
21.3,UFS GBN - S&D Newsletter 5 - Goedkeuring op ontwerp,10-10-12 09:00,10-10-12 09:00,0s,0s,0%,,Caspar,,,,,10-10-12 09:00,,,,0,,
21.4,UFS GBN - S&D Newsletter 5 - Emailtemplate programmeren,15-10-12 09:00,15-10-12 17:00,1d,1d,0%,,Caspar,,,,,15-10-12 09:00,,,,0,,
21.5,UFS GBN - S&D Newsletter 5 - Pdf-opmaak deel 1,11-10-12 09:00,11-10-12 17:00,1d,1d,0%,,Caspar,,,,,11-10-12 09:00,,,,0,,
21.6,UFS GBN - S&D Newsletter 5 - Pdf-opmaak deel 1 feedback,15-10-12 09:00,15-10-12 09:00,0s,0s,0%,,Caspar,,,,,15-10-12 09:00,,,,0,,
21.7,UFS GBN - S&D Newsletter 5 - Pdf-opmaak deel 2,16-10-12 09:00,16-10-12 17:00,1d,1d,0%,,Caspar,,,,,16-10-12 09:00,,,,0,,
21.8,UFS GBN - S&D Newsletter 5 - Pdf-opmaak deel 2 feedback,18-10-12 09:00,18-10-12 09:00,0s,0s,0%,,Caspar,,,,,18-10-12 09:00,,,,0,,
21.9,UFS GBN - S&D Newsletter 5 - Akkoord Pdf-bestanden,22-10-12 09:00,22-10-12 09:00,0s,0s,0%,,Caspar,,,,,22-10-12 09:00,,,,0,,
21.10,UFS GBN - S&D Newsletter 5 - Mailing testen,22-10-12 09:00,22-10-12 17:00,1d,1d,0%,,Caspar,,,,,22-10-12 09:00,,,,0,,
21.11,UFS GBN - S&D Newsletter 5 - Mailing versturen,24-10-12 09:00,24-10-12 09:00,0s,0s,0%,,Caspar,,,,,24-10-12 09:00,,,,0,,
22,Howdy! - Update,06-09-12 09:00,26-09-12 10:36,2w 4d 1h 36m,1mo 1w 4h 48m,0%,,,,,,,06-09-12 09:00,,,,,,
22.1,Howdy! - Ontwikkeling,06-09-12 09:00,21-09-12 10:36,2w 1d 1h 36m,2w 1d 1h 36m,0%,,Leon,,,,,06-09-12 09:00,,,,0,,
22.2,Howdy! - Vormgeving Kaarten deel 1,10-09-12 09:00,19-09-12 10:36,1w 2d 1h 36m,1w 2d 1h 36m,0%,,Martijn,,,,,10-09-12 09:00,,,,0,,
22.3,Howdy! - Vormgeving Kaarten deel 2,17-09-12 09:00,26-09-12 10:36,1w 2d 1h 36m,1w 2d 1h 36m,0%,,Vincent,,,,,17-09-12 09:00,,,,0,,
23,MaYoM - Magazine Editor,17-09-12 09:00,12-11-12 10:36,2mo 1h 36m,2mo 2w 5h 16m 48s,0%,,,,,,,17-09-12 09:00,,,,,,
23.1,MaYoM - Interactiedesign Editor,17-09-12 09:00,18-09-12 11:00,1d 2h,1d,0%,,Mark {80% of 80%},,,,,17-09-12 09:00,,,,0,,
23.2,MaYoM - Interactiedesign App,19-09-12 09:00,19-09-12 14:00,5h,4h,0%,,Mark {80% of 80%},,,,,19-09-12 09:00,,,,0,,
23.3,MaYoM - Interactiedesign Website,20-09-12 09:00,21-09-12 11:00,1d 2h,1d,0%,,Mark {80% of 80%},,,,,20-09-12 09:00,,,,0,,
23.4,MaYoM - Vormgeving Editor,24-09-12 09:00,02-10-12 17:00,1w 2d,1w 2d,0%,,Martijn,,,,,24-09-12 09:00,,,,0,,
23.5,MaYoM - Vormgeving App,03-10-12 09:00,05-10-12 17:00,3d,3d,0%,,Martijn,,,,,03-10-12 09:00,,,,0,,
23.6,MaYoM - Vormgeving Website,08-10-12 09:00,19-10-12 17:00,2w,2w,0%,,Martijn,,,,,08-10-12 09:00,,,,0,,
23.7,MaYoM - Ontwikkeling Editor,08-10-12 09:00,17-10-12 10:36,1w 2d 1h 36m,1w 2d 1h 36m,0%,,Leon,,,,,08-10-12 09:00,,,,0,,
23.8,MaYoM - Ontwikkeling iOS App,22-10-12 09:00,12-11-12 10:36,3w 1h 36m,3w 1h 36m,0%,,Leon,,,,,22-10-12 09:00,,,,0,,
23.9,MaYoM - Ontwikkeling Website,22-10-12 09:00,31-10-12 10:36,1w 2d 1h 36m,1w 6h 4m 48s,0%,,Mark {80% of 80%},,,,,22-10-12 09:00,,,,0,,
24,QR-Manager,17-09-12 09:00,26-09-12 17:00,1w 3d,2w 3h 12m,0%,,,,,,,17-09-12 09:00,,,,,,
24.1,QR-Manager - Website Design,17-09-12 09:00,26-09-12 17:00,1w 3d,4d,0%,,Vincent {50% of 100%},,,,,03-09-12 09:00,,,,0,,
24.2,QR-Manager - Website Ontwikkeling,17-09-12 09:00,25-09-12 12:12,1w 1d 3h 12m,1w 1d 3h 12m,0%,,Max,,,,,10-09-12 09:00,,,,0,,
