      WBS Number,Title,Start,End,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
3.1.7,ASN Ideaalmagazine Online #4 - Development 1e ronde,04-09-12 14:36,07-09-12 12:12,2d 5h 36m,1w 3h 12m,0%,,Leon; Maarten,,,,,04-09-12 09:00,,33,,0,,
3.1.8,ASN Ideaalmagazine Online #4 - Feedback ASN,13-09-12 09:00,13-09-12 09:00,0s,0s,0%,,Robin; Michel,,,,,13-09-12 09:00,,34,,0,,
3.1.9,ASN Ideaalmagazine Online #4 - Development 2e ronde,14-09-12 09:00,14-09-12 13:16,4h 16m,1d 4h 48m,0%,,Leon; Max; Maarten,,,,,14-09-12 09:00,,35,,0,,
3.1.10,ASN Ideaalmagazine Online #4 - Feedback ASN,19-09-12 09:00,19-09-12 09:00,0s,0s,0%,,Robin; Michel,,,,,,,"35, 36",,0,,
3.1.11,ASN Ideaalmagazine Online #4 - Finale oplevering,19-09-12 09:00,19-09-12 11:08,2h 8m,6h 24m,0%,,Leon; Max; Maarten,,,,,19-09-12 09:00,,37,,0,,
3.2,ASN Ideaalmagazine Online #5,26-10-12 09:00,28-11-12 10:36,1mo 3d 1h 36m,1mo 3d 1h 36m,0%,,Martijn,,,,,26-10-12 09:00,,,,0,,
4,Ascom Nederland,14-08-12 09:00,11-12-12 09:00,4mo 1w,1w,0%,,,,,,,01-08-12 09:00,,,,,,
4.1,Ascom Nederland Product magazine Unite,20-08-12 09:00,23-08-12 10:36,3d 1h 36m,3d 1h 36m,0%,,Caspar,,,,,20-08-12 09:00,,,,0,,
4.2,Ascom Nederland editie 2 Poppups & Poll,14-08-12 09:00,14-08-12 13:48,4h 48m,1d 6h 24m,0%,,Maarten; Leon; Mark,,,,,14-08-12 09:00,,,,0,,
4.3,Ascom Nederland editie 4 2012,11-12-12 09:00,11-12-12 09:00,0s,0s,0%,,Maarten,,,,,11-12-12 09:00,,,,0,,
5,UFS - Lipton Actiesite - Extra componenten,01-08-12 09:00,07-08-12 17:00,1w,3d 1h 36m,0%,,,,,,,01-08-12 09:00,,,,,,
5.1,UFS - Lipton Actiesite - Aanpassingen Frankrijk,01-08-12 09:00,02-08-12 13:48,1d 4h 48m,1d 4h 48m,0%,,Dylan,,,,,,17-07-12 09:00,,,0,,
5.2,UFS - Lipton Actiesite - Extra componenten Flash,06-08-12 09:00,07-08-12 17:00,2d,1d 4h 48m,0%,,Leon {40% of 100%}; Maarten {40% of 100%},,,,,,27-07-12 09:00,,,0,,
6,Forbo - 150 jaar Forbo,03-09-12 09:00,13-09-12 10:36,1w 3d 1h 36m,1w 1d 1h 36m,0%,,,,,,,03-09-12 09:00,,,,,,
6.1,Forbo -150 jaar Forbo - Verwerken Feedback,03-09-12 09:00,05-09-12 17:00,3d,3d,0%,,Caspar,,,,,03-09-12 09:00,,,,0,,
6.2,Forbo -150 jaar Forbo - Ontwikkeling / Bouw magazine,10-09-12 09:00,13-09-12 10:36,3d 1h 36m,3d 1h 36m,0%,,Caspar,,,,,10-09-12 09:00,,,,0,,
7,DECS - Redesign SalesTool iPad ,18-07-12 09:00,18-07-12 15:24,6h 24m,6h 24m,0%,,,,,,,09-07-12 09:00,,,,,,
7.1,DECS - Redesign SalesTool iPad ,18-07-12 09:00,18-07-12 15:24,6h 24m,6h 24m,0%,,Dylan,,,,,18-07-12 09:00,,,,0,,
8,Landal Najaarsspecial,17-07-12 09:00,06-09-12 15:24,1mo 3w 2d 6h 24m,1mo 2w 2d 28m 48s,0%,,,,,,,17-07-12 09:00,,,,,,
8.1,Landal Najaarsspecial - Briefing hoofdstukindeling,17-07-12 09:00,17-07-12 09:00,0s,0s,0%,,Martijn; Caspar,,,,,17-07-12 09:00,,,,0,,
8.2,Landal Najaarsspecial - Aanleveren Content,19-07-12 09:00,19-07-12 09:00,0s,0s,0%,,Martijn; Caspar,,,,,19-07-12 09:00,,53,,0,,
8.3,Landal Najaarsspecial - Design Deel 1 ,23-07-12 09:00,23-07-12 15:24,6h 24m,1d 4h 48m,0%,,Robin; Caspar,,,,,23-07-12 09:00,,54,,0,,
8.4,Landal Najaarsspecial - Feedback deel 1,27-07-12 09:00,27-07-12 09:00,0s,0s,0%,,Caspar; Martijn,,,,,27-07-12 09:00,,55,,0,,
